Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
7001_joy_baby_describe.txt,1,92,62.99,86.15,4.59,99,9.2,8.7,93.48,55.43,14.13,3.26,0,0,1.09,2.17,0,10.87,11.96,10.87,6.52,8.7,9.78,0,8.7,4.35,1.09,0,2.17,5.43,11.96,11.96,0,0,0,0,11.96,5.43,0,0,3.26,8.7,1.09,1.09,0,2.17,3.26,2.17,2.17,1.09,1.09,0,1.09,0,0,0,0,4.35,2.17,0,2.17,0,0,1.09,6.52,0,9.78,0,6.52,3.26,3.26,0,1.09,0,0,0,1.09,0,0,1.09,0,0,28.26,10.87,6.52,0,0,0,0,6.52,0,4.35,0,0
7001_joy_baby_feel.txt,1,36,4.69,50,74.76,99,7.2,19.44,100,44.44,22.22,11.11,8.33,0,2.78,0,0,11.11,0,2.78,8.33,13.89,2.78,0,25,22.22,0,0,0,0,27.78,27.78,0,0,0,0,5.56,2.78,0,0,0,27.78,11.11,2.78,0,8.33,5.56,0,16.67,5.56,0,11.11,0,0,0,0,0,0,0,0,0,0,0,13.89,8.33,0,5.56,0,5.56,0,2.78,2.78,0,0,0,0,2.78,0,0,2.78,0,0,25,13.89,5.56,0,0,0,0,2.78,0,2.78,0,0
7001_joy_dogfail_describe.txt,1,57,18.82,80.98,1,1,11.4,15.79,80.7,54.39,8.77,3.51,0,0,1.75,0,1.75,5.26,1.75,10.53,7.02,10.53,19.3,0,15.79,7.02,5.26,0,0,0,7.02,1.75,5.26,0,0,5.26,7.02,0,0,0,0,5.26,1.75,0,0,1.75,1.75,0,8.77,7.02,1.75,0,0,0,0,0,0,3.51,0,1.75,3.51,0,1.75,3.51,5.26,1.75,5.26,1.75,1.75,1.75,1.75,8.77,1.75,0,0,0,1.75,0,0,0,1.75,0,31.58,8.77,10.53,0,0,0,0,12.28,0,0,0,0
7001_joy_grandpa_describe.txt,1,75,48.9,99,1,9.41,8.33,16,94.67,58.67,20,12,0,0,1.33,8,2.67,8,13.33,10.67,14.67,4,6.67,0,21.33,1.33,0,0,2.67,0,1.33,0,1.33,0,0,0,24,4,0,9.33,6.67,4,0,0,0,4,0,0,2.67,1.33,0,1.33,4,1.33,1.33,1.33,1.33,5.33,1.33,1.33,0,2.67,0,2.67,18.67,0,14.67,0,9.33,5.33,0,4,1.33,0,0,0,0,0,0,0,0,0,33.33,12,4,0,0,0,0,6.67,0,10.67,0,0
7001_joy_phone_describe.txt,1,80,92.03,96.95,27.99,99,16,20,92.5,57.5,12.5,3.75,0,0,1.25,1.25,1.25,8.75,11.25,18.75,6.25,3.75,8.75,0,12.5,8.75,3.75,2.5,5,1.25,7.5,7.5,0,0,0,0,17.5,0,3.75,0,5,11.25,3.75,1.25,0,7.5,0,0,1.25,0,1.25,0,0,0,0,0,0,2.5,0,0,2.5,0,0,1.25,8.75,0,15,3.75,11.25,1.25,0,3.75,0,0,0,0,1.25,0,0,1.25,0,0,21.25,6.25,6.25,0,0,0,0,5,0,3.75,0,0
7001_joy_phone_feel.txt,1,55,1,86.24,1,99,9.17,9.09,100,69.09,23.64,10.91,1.82,0,3.64,5.45,0,12.73,1.82,5.45,16.36,10.91,14.55,0,23.64,7.27,0,1.82,0,0,20,18.18,0,0,0,0,9.09,0,0,0,5.45,14.55,5.45,3.64,0,0,5.45,0,3.64,1.82,1.82,0,0,0,0,0,0,1.82,0,0,0,1.82,0,18.18,5.45,0,1.82,0,0,1.82,0,3.64,0,0,0,0,5.45,0,0,1.82,3.64,0,27.27,10.91,12.73,0,0,0,0,3.64,0,0,0,0
7001_neg_broken_describe.txt,1,74,29.77,96.04,1,1,24.67,14.86,93.24,56.76,16.22,14.86,0,0,1.35,13.51,0,1.35,8.11,8.11,5.41,5.41,16.22,1.35,14.86,0,0,1.35,1.35,0,13.51,2.7,10.81,1.35,0,5.41,21.62,0,1.35,0,14.86,9.46,1.35,0,0,4.05,1.35,4.05,9.46,2.7,2.7,4.05,4.05,4.05,0,0,0,5.41,2.7,1.35,1.35,1.35,0,1.35,12.16,0,10.81,4.05,6.76,0,0,2.7,0,0,0,0,0,0,0,0,0,0,27.03,4.05,10.81,0,0,0,0,9.46,0,2.7,0,0
7001_neg_broken_feel.txt,1,50,2.7,50,56.63,1,8.33,12,98,66,24,22,10,2,2,8,0,2,6,4,14,10,6,4,26,6,0,0,0,2,10,2,8,0,0,4,16,0,4,0,12,18,10,0,0,2,0,6,4,0,0,4,6,6,4,0,0,8,2,0,2,4,0,14,12,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,34,12,12,0,0,0,0,8,0,2,0,0
7001_neg_bugear_describe.txt,1,86,28.1,40.82,57.24,25.77,12.29,10.47,94.19,66.28,18.6,9.3,4.65,0,0,0,4.65,9.3,8.14,11.63,13.95,3.49,11.63,1.16,17.44,5.81,4.65,2.33,0,1.16,0,0,0,0,0,0,9.3,0,0,1.16,3.49,18.6,2.33,2.33,2.33,6.98,1.16,5.81,3.49,0,3.49,0,3.49,3.49,0,0,0,3.49,0,0,2.33,1.16,0,10.47,5.81,1.16,11.63,0,10.47,1.16,0,1.16,2.33,0,0,0,0,0,0,0,0,0,30.23,8.14,10.47,0,0,0,0,6.98,0,4.65,0,0
7001_neg_coffer_describe.txt,1,109,86.51,86.45,6.54,13.38,12.11,10.09,94.5,55.96,13.76,9.17,0,0,0.92,8.26,0,4.59,13.76,12.84,5.5,2.75,9.17,0.92,22.94,5.5,1.83,0.92,0,1.83,4.59,1.83,2.75,2.75,0,0,11.93,0,0,9.17,0,10.09,0.92,1.83,0.92,5.5,0,0.92,6.42,1.83,2.75,1.83,1.83,1.83,0,0,0,11.01,0,2.75,2.75,5.5,0.92,0.92,16.51,0.92,19.27,5.5,11.93,1.83,0,0.92,0.92,0,0,0,0.92,0,0,0.92,0,0,19.27,8.26,8.26,0,0,0,0,0.92,0,1.83,0,0
7001_neg_dying_describe.txt,1,75,67.31,95.83,14.56,25.77,12.5,17.33,97.33,58.67,18.67,10.67,0,0,4,6.67,0,8,6.67,17.33,4,8,8,0,13.33,4,2.67,4,1.33,2.67,5.33,2.67,2.67,1.33,0,0,14.67,1.33,0,0,8,10.67,0,2.67,0,8,0,1.33,1.33,1.33,0,0,2.67,0,2.67,0,0,5.33,1.33,0,1.33,2.67,0,10.67,2.67,2.67,20,2.67,6.67,10.67,1.33,1.33,0,0,0,1.33,1.33,0,0,0,1.33,0,18.67,8,8,0,0,0,0,0,0,2.67,0,0
7001_neg_dying_feel.txt,1,58,81.07,91.6,97.46,58.39,9.67,18.97,94.83,46.55,18.97,12.07,3.45,0,6.9,1.72,0,6.9,5.17,13.79,1.72,1.72,5.17,0,15.52,12.07,0,0,0,1.72,12.07,6.9,5.17,0,0,5.17,12.07,0,0,0,1.72,18.97,8.62,0,0,8.62,0,1.72,1.72,0,1.72,0,1.72,0,1.72,0,0,5.17,0,0,3.45,1.72,0,5.17,8.62,0,20.69,0,12.07,8.62,0,0,0,0,0,0,0,0,0,0,0,0,36.21,8.62,13.79,0,0,1.72,0,8.62,0,3.45,0,0
7001_neg_larva_describe.txt,1,99,37.91,76.03,16.48,44.24,24.75,7.07,88.89,57.58,16.16,7.07,0,0,2.02,5.05,0,9.09,6.06,13.13,6.06,8.08,14.14,0,13.13,4.04,4.04,2.02,3.03,4.04,3.03,2.02,1.01,0,0,0,9.09,0,0,0,5.05,12.12,3.03,3.03,2.02,4.04,0,4.04,4.04,1.01,0,2.02,5.05,2.02,1.01,0,2.02,2.02,0,0,2.02,0,0,0,11.11,2.02,15.15,2.02,11.11,2.02,0,1.01,0,0,0,2.02,1.01,0,0,0,1.01,0,34.34,4.04,16.16,0,0,0,0,10.1,0,4.04,0,0
